run_timestamp,primary_regime,secondary_regime,confidence_level,total_articles,high_priority_articles,market_signal_articles,strategy_briefing_articles,top_strategic_angle,top_market_focus,top_market_signal
2026-05-19 02:17:00,Developer Strategy Shift,Selective Capital Re-entry,High,75,48,30,52,Developer Strategy,Sun Belt,Supply / Starts Signal
2026-05-20 04:06:06,Developer Strategy Shift,Selective Capital Re-entry,High,88,56,43,62,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-20 05:18:44,Developer Strategy Shift,Selective Capital Re-entry,High,88,56,43,62,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-20 23:01:54,Developer Strategy Shift,Selective Capital Re-entry,High,88,52,38,61,Developer Strategy,Sun Belt,Deal Size Signal
2026-05-21 23:01:48,Developer Strategy Shift,Selective Capital Re-entry,High,86,55,37,63,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-22 23:01:55,Developer Strategy Shift,Selective Capital Re-entry,High,76,52,33,58,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-23 23:01:52,Developer Strategy Shift,Selective Capital Re-entry,High,75,52,31,57,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-24 23:02:04,Developer Strategy Shift,Selective Capital Re-entry,High,73,50,30,55,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-25 23:02:12,Developer Strategy Shift,Selective Capital Re-entry,High,77,52,33,58,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-26 06:05:16,Developer Strategy Shift,Selective Capital Re-entry,High,76,51,33,57,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-26 08:10:38,Developer Strategy Shift,Selective Capital Re-entry,High,78,53,33,58,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-26 23:02:11,Selective Capital Re-entry,Developer Strategy Shift,High,85,54,40,62,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-27 01:36:18,Selective Capital Re-entry,Developer Strategy Shift,High,85,54,40,62,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-27 23:02:07,Selective Capital Re-entry,Developer Strategy Shift,High,85,56,43,65,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-28 23:01:55,Developer Strategy Shift,Financing Stress,High,79,51,32,55,Developer Strategy,Sun Belt,Rent Growth Signal
2026-05-29 23:01:38,Developer Strategy Shift,Selective Capital Re-entry,High,74,46,32,50,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-30 23:02:08,Developer Strategy Shift,Financing Stress,High,76,50,33,54,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-31 23:01:56,Developer Strategy Shift,Financing Stress,High,75,48,31,51,Developer Strategy,Sun Belt,Rent Growth Signal
2026-06-01 00:35:55,Developer Strategy Shift,Selective Capital Re-entry,High,75,36,22,39,Developer Strategy,Los Angeles,Rent Growth Signal
2026-06-01 01:21:39,Developer Strategy Shift,Selective Capital Re-entry,High,75,36,22,39,Developer Strategy,Los Angeles,Rent Growth Signal
2026-06-01 02:03:08,Developer Strategy Shift,Selective Capital Re-entry,High,75,36,22,39,Developer Strategy,Los Angeles,Rent Growth Signal
2026-06-01 02:31:38,Developer Strategy Shift,Selective Capital Re-entry,High,75,36,22,39,Developer Strategy,Los Angeles,Rent Growth Signal
2026-06-01 05:46:34,Developer Strategy Shift,Financing Stress,High,75,37,22,40,Developer Strategy,Los Angeles,Rent Growth Signal
2026-06-01 06:48:06,Developer Strategy Shift,Financing Stress,High,65,29,18,32,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-01 07:28:33,Developer Strategy Shift,Financing Stress,High,75,37,22,40,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-01 23:01:46,Developer Strategy Shift,Selective Capital Re-entry,High,79,38,25,41,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-02 01:03:10,Developer Strategy Shift,Selective Capital Re-entry,High,79,38,25,41,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-02 02:11:12,Developer Strategy Shift,Selective Capital Re-entry,High,79,38,25,41,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-02 04:03:08,Developer Strategy Shift,Selective Capital Re-entry,High,79,38,25,41,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-02 04:54:46,Developer Strategy Shift,Selective Capital Re-entry,High,79,38,25,41,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-04 00:01:36,Developer Strategy Shift,Selective Capital Re-entry,High,81,37,25,42,Developer Strategy,California,Rent Growth Signal
2026-06-04 08:14:13,Developer Strategy Shift,Selective Capital Re-entry,High,80,38,24,43,Developer Strategy,California,Rent Growth Signal
2026-06-04 23:02:01,Developer Strategy Shift,Selective Capital Re-entry,High,79,39,26,42,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-06-05 11:41:13,Developer Strategy Shift,Selective Capital Re-entry,High,79,38,26,41,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-06-05 23:01:48,Developer Strategy Shift,,High,76,44,23,45,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-06 08:19:08,Developer Strategy Shift,,High,76,44,23,45,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-06 23:03:29,Developer Strategy Shift,Selective Capital Re-entry,High,77,46,26,47,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-07 10:12:31,Developer Strategy Shift,Selective Capital Re-entry,High,77,46,26,47,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-07 23:01:52,Developer Strategy Shift,Selective Capital Re-entry,High,77,46,28,47,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-06-08 14:38:59,Developer Strategy Shift,Selective Capital Re-entry,High,81,47,30,50,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-06-08 23:01:57,Developer Strategy Shift,Selective Capital Re-entry,High,91,51,41,58,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-09 10:50:10,Developer Strategy Shift,Selective Capital Re-entry,High,88,50,40,56,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-10 11:57:07,Developer Strategy Shift,Selective Capital Re-entry,High,77,42,32,46,Developer Strategy,California,Rent Growth Signal
2026-06-11 00:17:15,Developer Strategy Shift,Selective Capital Re-entry,High,83,42,38,47,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-12 00:20:41,Developer Strategy Shift,Selective Capital Re-entry,High,75,38,28,44,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-06-13 00:21:46,Developer Strategy Shift,Selective Capital Re-entry,High,87,49,30,54,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-14 00:09:04,Developer Strategy Shift,Selective Capital Re-entry,High,89,51,32,56,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-06-15 00:10:53,Developer Strategy Shift,Selective Capital Re-entry,High,90,52,34,57,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-06-16 01:43:20,Developer Strategy Shift,Selective Capital Re-entry,High,82,42,28,48,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-06-17 00:18:13,Developer Strategy Shift,Selective Capital Re-entry,High,76,37,25,42,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-06-18 00:17:25,Developer Strategy Shift,Selective Capital Re-entry,High,79,43,28,45,Developer Strategy,California,Rent Growth Signal
2026-06-19 00:28:03,Developer Strategy Shift,Financing Stress,High,78,41,24,44,Developer Strategy,California,Rent Growth Signal
2026-06-20 00:10:47,Developer Strategy Shift,Selective Capital Re-entry,High,80,43,32,46,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-21 00:07:47,Developer Strategy Shift,Selective Capital Re-entry,High,81,44,33,47,Developer Strategy,New York City / New York,Rent Growth Signal
2026-06-22 00:13:13,Developer Strategy Shift,Selective Capital Re-entry,High,79,43,33,46,Developer Strategy,New York City / New York,Rent Growth Signal
2026-06-23 00:07:52,Developer Strategy Shift,Selective Capital Re-entry,High,75,48,26,48,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-23 23:58:39,Developer Strategy Shift,Selective Capital Re-entry,High,76,44,30,46,Developer Strategy,California,Rent Growth Signal
2026-06-25 00:14:47,Developer Strategy Shift,Financing Stress,High,80,46,32,49,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-06-26 00:11:02,Developer Strategy Shift,Financing Stress,Medium,79,40,33,45,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-27 00:08:44,Developer Strategy Shift,Financing Stress,High,68,34,28,37,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-28 00:03:36,Developer Strategy Shift,Financing Stress,High,77,41,29,44,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-06-29 00:11:04,Developer Strategy Shift,Financing Stress,High,78,43,32,46,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-06-30 00:05:28,Developer Strategy Shift,Selective Capital Re-entry,High,88,52,38,53,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-07-01 00:07:01,Developer Strategy Shift,Selective Capital Re-entry,High,83,47,33,51,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-02 00:08:20,Developer Strategy Shift,Selective Capital Re-entry,High,87,46,33,51,Developer Strategy,Los Angeles / California,Rent Growth Signal
2026-07-03 00:06:40,Developer Strategy Shift,Financing Stress,High,81,44,31,47,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-04 00:05:26,Developer Strategy Shift,Financing Stress,High,81,43,28,46,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-05 00:02:52,Developer Strategy Shift,Financing Stress,High,82,45,29,48,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-06 00:06:44,Developer Strategy Shift,Financing Stress,High,82,44,31,48,Developer Strategy,Los Angeles / California,Supply / Starts Signal
2026-07-07 00:09:48,Developer Strategy Shift,Selective Capital Re-entry,High,91,50,39,53,Developer Strategy,Other / Unknown,Supply / Starts Signal
2026-07-07 23:59:00,Developer Strategy Shift,Selective Capital Re-entry,High,81,48,35,50,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-07-09 00:10:33,Developer Strategy Shift,Selective Capital Re-entry,High,75,42,29,44,Developer Strategy,Miami / Florida,Deal Size Signal
2026-07-10 00:06:50,Developer Strategy Shift,Selective Capital Re-entry,High,84,46,27,47,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-07-10 23:59:37,Developer Strategy Shift,Selective Capital Re-entry,High,77,47,26,47,Developer Strategy,Los Angeles / California,Deal Size Signal
2026-07-11 23:55:45,Developer Strategy Shift,Selective Capital Re-entry,High,77,47,27,47,Developer Strategy,Other / Unknown,Deal Size Signal
2026-07-12 23:55:18,Developer Strategy Shift,Selective Capital Re-entry,High,78,49,28,49,Developer Strategy,Other / Unknown,Deal Size Signal
2026-07-13 23:55:20,Developer Strategy Shift,Selective Capital Re-entry,High,77,50,31,51,Developer Strategy,Atlanta / Georgia,Rent Growth Signal
2026-07-14 23:54:20,Developer Strategy Shift,Selective Capital Re-entry,High,79,47,30,49,Developer Strategy,California,Supply / Starts Signal
