run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260519-021700-3e3a74df,2026-05-19,Construction financing still selective,6,6,Broadly Confirmed,New York,construction loan,newly emerging,,5,2,0.333
20260520-040606-6613d3b9,2026-05-20,Construction financing still selective,9,9,Broadly Confirmed,Sun Belt,construction financing,expanding,,6,4,0.222
20260520-051844-b14f8dba,2026-05-20,Construction financing still selective,9,9,Broadly Confirmed,Sun Belt,construction financing,stable,,6,4,0.222
20260520-230154-ca46e1ee,2026-05-20,Construction financing still selective,7,7,Broadly Confirmed,California,construction financing,fading,,5,3,0.286
20260521-230148-97d5f8bd,2026-05-21,Construction financing still selective,5,5,Broadly Confirmed,California,construction financing,fading,,4,2,0.4
20260522-230155-fb3b56b2,2026-05-22,Construction financing still selective,7,7,Broadly Confirmed,Sun Belt,construction loan,expanding,,6,2,0.286
20260523-230152-45df883f,2026-05-23,Construction financing still selective,6,6,Broadly Confirmed,Sun Belt,construction loan,fading,,5,2,0.333
20260519-021700-3e3a74df,2026-05-19,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,newly emerging,,2,1,0.5
20260520-040606-6613d3b9,2026-05-20,Institutional recap over expansion,4,4,Moderate Signal,New York,refinancing,expanding,,4,1,0.25
20260520-051844-b14f8dba,2026-05-20,Institutional recap over expansion,4,4,Moderate Signal,New York,refinancing,stable,,4,1,0.25
20260520-230154-ca46e1ee,2026-05-20,Institutional recap over expansion,2,2,Early Signal,Sun Belt,refinancing,fading,,2,0,0.5
20260521-230148-97d5f8bd,2026-05-21,Institutional recap over expansion,2,2,Early Signal,Sun Belt,refinancing,stable,,2,1,0.5
20260522-230155-fb3b56b2,2026-05-22,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260523-230152-45df883f,2026-05-23,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260519-021700-3e3a74df,2026-05-19,JV / partnership activity observed,7,7,Broadly Confirmed,New York,,newly emerging,,6,1,0.286
20260520-040606-6613d3b9,2026-05-20,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,fading,,5,3,0.333
20260520-051844-b14f8dba,2026-05-20,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,stable,,5,3,0.333
20260520-230154-ca46e1ee,2026-05-20,JV / partnership activity observed,5,5,Broadly Confirmed,New York,,fading,,4,0,0.4
20260521-230148-97d5f8bd,2026-05-21,JV / partnership activity observed,6,6,Broadly Confirmed,National,,expanding,,4,0,0.333
20260522-230155-fb3b56b2,2026-05-22,JV / partnership activity observed,3,3,Moderate Signal,National,,fading,,3,0,0.333
20260523-230152-45df883f,2026-05-23,JV / partnership activity observed,5,5,Broadly Confirmed,National,,expanding,,4,0,0.4
20260519-021700-3e3a74df,2026-05-19,LA entitlement precedent accumulation,10,10,Broadly Confirmed,Los Angeles,,newly emerging,,5,0,0.3
20260520-040606-6613d3b9,2026-05-20,LA entitlement precedent accumulation,8,8,Broadly Confirmed,Los Angeles,,fading,,5,0,0.25
20260520-051844-b14f8dba,2026-05-20,LA entitlement precedent accumulation,8,8,Broadly Confirmed,Los Angeles,,stable,,5,0,0.25
20260520-230154-ca46e1ee,2026-05-20,LA entitlement precedent accumulation,7,7,Broadly Confirmed,Los Angeles,,fading,,5,0,0.286
20260521-230148-97d5f8bd,2026-05-21,LA entitlement precedent accumulation,10,10,Broadly Confirmed,Los Angeles,,expanding,,5,0,0.5
20260522-230155-fb3b56b2,2026-05-22,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,expanding,,5,0,0.545
20260523-230152-45df883f,2026-05-23,LA entitlement precedent accumulation,10,10,Moderate Signal,Los Angeles,,fading,,4,0,0.6
20260519-021700-3e3a74df,2026-05-19,Refinancing pressure unresolved,5,5,Broadly Confirmed,New York,bridge loan,newly emerging,,4,3,0.4
20260520-040606-6613d3b9,2026-05-20,Refinancing pressure unresolved,7,7,Broadly Confirmed,New York,refinancing,expanding,,6,3,0.286
20260520-051844-b14f8dba,2026-05-20,Refinancing pressure unresolved,7,7,Broadly Confirmed,New York,refinancing,stable,,6,3,0.286
20260520-230154-ca46e1ee,2026-05-20,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,fading,,4,3,0.4
20260521-230148-97d5f8bd,2026-05-21,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,4,0.4
20260522-230155-fb3b56b2,2026-05-22,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260523-230152-45df883f,2026-05-23,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260519-021700-3e3a74df,2026-05-19,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,newly emerging,,2,0,0.5
20260520-040606-6613d3b9,2026-05-20,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260520-051844-b14f8dba,2026-05-20,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260520-230154-ca46e1ee,2026-05-20,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,expanding,,4,2,0.25
20260521-230148-97d5f8bd,2026-05-21,Sun Belt lease-up pressure watch,3,3,Moderate Signal,National,,fading,,3,1,0.333
20260522-230155-fb3b56b2,2026-05-22,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,fading,,2,0,0.5
20260523-230152-45df883f,2026-05-23,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
