run_date,run_id,run_timestamp,pattern_type,entity_name,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,recurring_lender_score,recurring_capital_partner_score,refinancing_frequency,construction_financing_frequency,capital_flow_direction,debt_market_stress_label,capital_rotation_signal,capital_flow_strength_score
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Arizona,Arizona,Apartment,2026-05-22,2026-06-01,10,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Sun Belt,Apartment,2026-05-19,2026-06-01,19,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Florida,Multifamily,2026-05-29,2026-06-01,4,1,80,0,4,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Florida,Apartment,2026-05-19,2026-06-01,19,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Blackstone,New York,General Residential,2026-05-19,2026-06-01,8,1,0,100,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,Blackstone,Sun Belt,General Residential,2026-05-20,2026-05-27,11,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,Blackstone,New York,General Residential,2026-05-19,2026-05-28,19,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,General Residential,2026-05-19,2026-06-01,24,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,Affordable Housing,2026-05-19,2026-06-01,41,1,0,0,3,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,Apartment,2026-05-19,2026-06-01,74,3,0,0,4,19,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,Senior Housing,2026-05-20,2026-06-01,26,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Florida,Florida,Multifamily,2026-05-29,2026-06-01,4,1,0,0,4,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Florida,Florida,Apartment,2026-05-19,2026-06-01,26,2,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Freddie Mac,New York,Apartment,2026-05-29,2026-06-01,4,1,80,0,4,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,California,Apartment,2026-05-19,2026-06-01,19,1,100,0,0,19,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,California,Senior Housing,2026-05-20,2026-06-01,20,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,Sun Belt,General Residential,2026-05-19,2026-05-27,19,0,100,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,Sun Belt,Apartment,2026-05-19,2026-06-01,19,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,New York,Apartment,2026-05-20,2026-05-28,5,0,100,0,4,0,Fading,Refinancing Stress Watch,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,California,General Residential,2026-05-19,2026-06-01,18,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,Affordable Housing,2026-05-19,2026-06-01,53,6,0,0,0,10,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,General Residential,2026-05-19,2026-06-01,18,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,Apartment,2026-05-19,2026-06-01,15,2,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,Office-to-Residential Conversion,2026-05-20,2026-05-27,15,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,Multifamily,2026-05-21,2026-05-27,10,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,Workforce Housing,2026-05-22,2026-05-27,9,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,Apartment,2026-05-20,2026-05-28,39,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,BTR / Single-Family Rental,2026-05-20,2026-05-27,14,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,Multifamily,2026-05-20,2026-05-30,8,0,0,0,3,4,Fading,Refinancing Stress Watch,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,Student Housing,2026-05-20,2026-05-27,13,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,New York,New York,Affordable Housing,2026-05-19,2026-05-21,9,0,0,0,1,2,Fading,Monitor Debt Conditions,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,New York,New York,Mixed-Use Residential,2026-05-20,2026-06-01,14,1,0,0,3,5,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,New York,New York,General Residential,2026-05-19,2026-05-28,19,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,New York,New York,Apartment,2026-05-19,2026-06-01,42,2,0,0,17,1,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,New York,New York,Multifamily,2026-05-19,2026-06-01,11,1,0,0,3,2,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Affordable Housing,2026-05-19,2026-06-01,31,3,0,0,2,3,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Student Housing,2026-05-20,2026-06-01,13,1,0,0,0,1,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,BTR / Single-Family Rental,2026-05-19,2026-05-28,9,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Apartment,2026-05-19,2026-06-01,118,4,0,0,7,7,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Multifamily,2026-05-19,2026-06-01,115,7,0,0,0,2,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Seattle,Seattle,Apartment,2026-05-20,2026-05-28,8,0,0,0,0,2,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,Multifamily,2026-05-19,2026-05-28,12,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,Mixed-Use Residential,2026-05-19,2026-06-01,7,1,0,0,1,1,Stable,Monitor Debt Conditions,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,Student Housing,2026-05-20,2026-06-01,20,1,0,0,18,2,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,General Residential,2026-05-19,2026-05-27,38,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,Affordable Housing,2026-05-19,2026-05-27,12,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,BTR / Single-Family Rental,2026-05-19,2026-06-01,36,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Sun Belt,Sun Belt,Apartment,2026-05-19,2026-06-01,194,9,0,0,13,29,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Wood Partners,Sun Belt,Apartment,2026-05-19,2026-05-28,9,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,ares,National,Student Housing,2026-05-20,2026-05-27,13,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,ares,Other / Unknown,Student Housing,2026-05-26,2026-06-01,9,1,0,100,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,equity residential,National,Apartment,2026-05-21,2026-05-27,10,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,northmarq,California,Apartment,2026-05-22,2026-05-27,9,0,100,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,northmarq,Sun Belt,Apartment,2026-05-19,2026-06-01,21,1,100,0,2,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Blackstone,New York; Sun Belt,General Residential,2026-05-20,2026-05-26,8,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,96
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Los Angeles,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-20,8,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,96
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Southeast,Southeast,Apartment,2026-05-21,2026-05-30,8,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,96
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Lincoln Property Company,California,Apartment,2026-05-28,2026-06-01,5,1,0,100,0,0,Stable,No Clear Stress,Stable capital pattern,94
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,walker & dunlop,Sun Belt,Apartment,2026-05-20,2026-05-20,6,0,100,0,0,2,Fading,No Clear Stress,Capital flow fading,92
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Los Angeles,Affordable Housing,2026-05-20,2026-05-20,4,0,80,0,0,4,Fading,No Clear Stress,Capital flow fading,88
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,Office-to-Residential Conversion,2026-05-29,2026-06-01,6,2,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,88
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,hines,New York,Apartment,2026-05-20,2026-05-20,4,0,0,80,4,0,Fading,Refinancing Stress Watch,Capital flow fading,88
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,Brookfield,National,Apartment,2026-05-21,2026-05-26,7,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,84
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,CBRE,National,General Residential,2026-05-20,2026-05-26,7,0,100,0,0,0,Fading,No Clear Stress,Capital flow fading,84
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,General Residential,2026-05-20,2026-05-26,7,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,84
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,National,National,Affordable Housing,2026-05-20,2026-05-27,7,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,84
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Wood Partners,Arizona; Sun Belt,Apartment,2026-05-29,2026-06-01,4,1,0,80,0,0,Stable,No Clear Stress,Stable capital pattern,83
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Alliance Residential,California,Apartment,2026-05-29,2026-06-01,4,1,0,80,0,0,Stable,No Clear Stress,Stable capital pattern,82
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Texas,Texas,Apartment,2026-05-20,2026-05-27,6,0,0,0,1,0,Fading,Monitor Debt Conditions,Capital flow fading,82
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Crescent Communities,Florida,Multifamily,2026-05-29,2026-06-01,4,1,0,80,0,0,Stable,No Clear Stress,Stable capital pattern,78
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,RXR,New York,Office-to-Residential Conversion,2026-05-29,2026-06-01,4,1,0,80,0,0,Stable,No Clear Stress,Stable capital pattern,74
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Brookfield,National,Apartment,2026-05-22,2026-05-26,6,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,72
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,Multifamily,2026-05-25,2026-05-30,6,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,72
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Wood Partners,Other / Unknown; Sun Belt,Apartment,2026-05-22,2026-05-26,6,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,72
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,cushman,New York,Mixed-Use Residential,2026-05-22,2026-05-26,6,0,100,0,0,0,Fading,No Clear Stress,Capital flow fading,72
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,New York,New York,Office-to-Residential Conversion,2026-05-29,2026-06-01,4,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,67
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,walker & dunlop,California,Affordable Housing,2026-05-27,2026-05-28,3,0,60,0,3,0,Fading,Refinancing Stress Watch,Capital flow fading,66
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Hanover Company,Other / Unknown,Apartment,2026-05-23,2026-05-26,5,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,60
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,JPI,Sun Belt,Multifamily,2026-05-20,2026-05-25,5,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,60
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,Mixed-Use Residential,2026-05-19,2026-05-27,5,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,60
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Arizona,Arizona,BTR / Single-Family Rental,2026-05-22,2026-05-26,4,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,48
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,CBRE,Sun Belt,Apartment,2026-05-19,2026-05-20,4,0,80,0,0,0,Fading,No Clear Stress,Capital flow fading,48
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Fannie Mae,Sun Belt,BTR / Single-Family Rental,2026-05-19,2026-05-20,4,0,80,0,0,0,Fading,No Clear Stress,Capital flow fading,48
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Other / Unknown,Other / Unknown,General Residential,2026-05-20,2026-05-27,3,0,0,0,1,0,Fading,Monitor Debt Conditions,Capital flow fading,46
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,JLL,Seattle,Apartment,2026-05-20,2026-05-20,2,0,40,0,0,2,Fading,No Clear Stress,Capital flow fading,44
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,cushman,Other / Unknown,Affordable Housing,2026-05-20,2026-05-20,2,0,40,0,0,2,Fading,No Clear Stress,Capital flow fading,44
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,kkr,Other / Unknown,Apartment,2026-05-20,2026-05-20,2,0,0,40,2,0,Fading,Refinancing Stress Watch,Capital flow fading,44
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,walker & dunlop,Other / Unknown,Apartment,2026-05-20,2026-05-20,2,0,40,0,2,0,Fading,Refinancing Stress Watch,Capital flow fading,44
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Arizona,Arizona,General Residential,2026-05-21,2026-05-27,3,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,36
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,AvalonBay,California; National,Apartment,2026-05-21,2026-05-23,3,0,0,60,0,0,Fading,No Clear Stress,Capital flow fading,36
